distX;distY;myGunHeading;velocityX;velocityY;hit
-309.73;-146.80;80.00;-8.22;-5.70;0
-306.52;-142.97;85.00;-1.43;5.60;0
-303.65;-138.88;90.00;0.00;0.00;0
-301.15;-134.55;95.00;0.00;0.00;0
-299.04;-130.01;100.00;0.00;0.00;0
-296.03;-120.49;110.00;0.00;0.00;1
-297.33;-125.32;105.00;0.00;0.00;0
-294.73;-105.58;125.00;0.00;0.00;0
-295.16;-100.60;130.00;0.00;0.00;0
-294.73;-110.58;120.00;0.00;0.00;0
-296.03;-95.68;135.00;0.00;0.00;0
-295.16;-115.56;115.00;0.00;0.00;0
-297.33;-90.85;140.00;0.00;0.00;0
-299.04;-86.15;145.00;0.00;0.00;0
80.00;80.00;0.00;0.00;0.00;0
80.00;75.00;5.00;0.00;0.00;0
80.44;70.02;10.00;0.00;0.00;0
81.30;65.09;15.00;0.00;0.00;0
82.60;60.27;20.00;0.00;0.00;0
84.31;55.57;25.00;0.00;0.00;0
86.42;51.04;30.00;0.00;0.00;0
88.92;46.71;35.00;0.00;0.00;0
91.79;42.61;40.00;0.00;0.00;0
-279.76;178.54;45.00;0.00;0.00;0
-276.22;175.00;50.00;0.00;0.00;0
-293.54;-50.84;60.00;0.00;0.00;1
-289.21;-53.34;65.00;0.00;0.00;1
-272.39;171.79;55.00;0.00;0.00;0
-284.67;-55.45;70.00;0.00;0.00;1
-279.98;-57.16;75.00;0.00;0.00;0
-283.18;-71.12;80.00;-5.36;-8.44;0
-280.94;-76.21;85.00;-2.68;-4.22;0
-281.32;-85.09;90.00;-2.68;-4.22;0
-279.00;-89.31;95.00;-5.36;-8.44;0
-276.69;-93.10;100.00;-2.68;-4.22;0
-272.96;-106.11;115.00;-2.68;-4.22;1
-277.13;-100.67;105.00;-2.68;-4.22;0
-274.98;-103.60;110.00;-5.36;-8.44;0
-273.79;-112.44;120.00;-2.68;-4.22;1
-271.39;-121.43;140.00;-5.36;-8.44;0
-272.25;-120.74;135.00;-2.68;-4.22;0
-270.72;-115.51;130.00;-2.68;-4.22;0
-272.14;-114.16;125.00;-5.36;-8.44;0
-270.86;-121.82;145.00;-2.68;-4.22;0
-273.35;-126.17;150.00;-2.68;-4.22;0
-273.53;-126.06;155.00;-5.36;-8.44;0
175.98;119.76;230.00;0.00;0.00;0
172.15;122.97;235.00;0.00;0.00;0
168.05;125.84;240.00;0.00;0.00;0
163.72;128.34;245.00;0.00;0.00;0
159.19;130.45;250.00;0.00;0.00;0
154.49;132.16;255.00;0.00;0.00;0
149.66;133.46;260.00;0.00;0.00;0
144.74;134.32;265.00;0.00;0.00;0
139.76;134.76;270.00;0.00;0.00;0
134.76;134.76;275.00;0.00;0.00;0
129.78;134.32;280.00;0.00;0.00;0
124.85;133.46;285.00;0.00;0.00;0
102.37;122.97;310.00;0.00;0.00;1
120.02;132.16;290.00;0.00;0.00;0
98.54;119.76;315.00;0.00;0.00;1
115.33;130.45;295.00;0.00;0.00;0
110.79;128.34;300.00;0.00;0.00;0
106.46;125.84;305.00;0.00;0.00;0
-80.00;-80.00;0.00;0.00;0.00;0
-53.54;-130.84;60.00;0.00;0.00;0
-49.21;-133.34;65.00;0.00;0.00;0
-44.67;-135.45;70.00;0.00;0.00;0
-39.98;-137.16;75.00;0.00;0.00;0
-35.15;-138.46;80.00;0.00;0.00;0
-30.22;-139.32;85.00;0.00;0.00;0
-29.61;-142.18;90.00;0.00;0.00;0
-33.36;-147.04;95.00;-4.37;-2.43;0
-53.10;-156.95;150.00;-4.37;-2.43;1
-32.75;-149.03;100.00;-8.74;-4.85;0
-54.98;-155.05;155.00;-8.74;-4.85;1
-36.57;-153.01;105.00;-4.37;-2.43;0
-36.11;-154.14;110.00;-8.74;-4.85;0
-35.79;-154.85;115.00;-4.37;-2.43;0
-40.00;-157.59;120.00;-4.37;-2.43;0
-47.23;-156.20;145.00;-4.37;-2.43;0
-46.07;-157.60;140.00;-8.74;-4.85;0
-40.04;-157.52;125.00;-8.74;-4.85;0
-45.23;-158.71;135.00;-4.37;-2.43;0
-57.24;-152.94;160.00;-4.37;-2.43;0
-40.32;-157.08;130.00;-4.37;-2.43;0
-64.27;-153.09;165.00;-4.37;-2.43;0
-67.35;-150.69;170.00;-8.74;-4.85;0
-70.85;-148.19;175.00;-4.37;-2.43;0
-79.16;-148.06;180.00;-4.37;-2.43;0
-83.53;-145.49;185.00;-8.74;-4.85;0
-88.34;-142.93;190.00;-4.37;-2.43;0
-97.95;-142.86;195.00;-4.37;-2.43;0
-103.62;-140.45;200.00;-8.74;-4.85;0
-109.70;-138.18;205.00;-4.37;-2.43;0
-134.67;-134.93;220.00;-4.37;-2.43;0
-127.43;-136.60;215.00;-8.74;-4.85;0
-120.56;-138.50;210.00;-4.37;-2.43;0
-450.06;53.46;60.00;0.00;0.00;0
-442.35;42.97;110.00;0.00;0.00;0
-264.65;-60.74;60.00;0.00;0.00;0
-262.15;-56.41;65.00;0.00;0.00;0
-260.04;-51.88;70.00;0.00;0.00;0
-258.33;-47.18;75.00;0.00;0.00;0
-255.73;-27.45;95.00;0.00;0.00;1
-256.17;-22.47;100.00;0.00;0.00;1
-257.03;-42.35;80.00;0.00;0.00;0
-256.17;-37.43;85.00;0.00;0.00;0
-255.73;-32.45;90.00;0.00;0.00;0
